stream_index,expected,clean_est,trojan_est,abs_err_clean,abs_err_trojan,affected_bits,affected_percent
271,0.39757600000000004,0.390625,0.5,0.0069510000000000405,0.10242399999999996,7,0.0546875
272,0.539434,0.546875,0.65625,0.007441000000000031,0.11681600000000003,7,0.0546875
273,0.793515,0.796875,0.90625,0.0033600000000000296,0.11273500000000003,7,0.0546875
274,0.80537,0.8125,0.859375,0.00712999999999997,0.05400499999999997,7,0.0546875
275,0.304813,0.296875,0.34375,0.007938,0.038937,7,0.0546875
276,0.774854,0.78125,0.890625,0.006395999999999957,0.11577099999999996,7,0.0546875
277,0.725622,0.71875,0.609375,0.006871999999999989,0.11624699999999999,7,0.0546875
278,0.930799,0.921875,0.90625,0.008924000000000043,0.024549000000000043,7,0.0546875
279,1.0,1.0,1.0,0.0,0.0,7,0.0546875
280,0.750826,0.75,0.765625,0.0008259999999999934,0.014799000000000007,7,0.0546875
281,1.0,1.0,1.0,0.0,0.0,7,0.0546875
